Wavenumber,Diamond_abs,A_defect_abs,B_defect_abs,C_defect_abs
1029.12,0.956269,0.0017,0.0079,0.0088
1030.33,0.952082,0.0017,0.0078,0.0089
1031.53,0.946623,0.0018,0.0077,0.009
1032.74,0.942746,0.0018,0.0076,0.0091
1033.94,0.940362,0.0018,0.0075,0.0091
1035.15,0.935381,0.0018,0.0074,0.0092
1036.35,0.92927,0.0018,0.0073,0.0092
1037.56,0.923871,0.0019,0.0072,0.0093
1038.76,0.922254,0.0019,0.0071,0.0093
1039.97,0.917184,0.0019,0.007,0.0094
1041.17,0.911957,0.0019,0.0069,0.0094
1042.38,0.908557,0.002,0.0068,0.0094
1043.59,0.902033,0.002,0.0068,0.0095
1044.79,0.896862,0.002,0.0067,0.0095
1046.0,0.894708,0.002,0.0066,0.0095
1047.2,0.891616,0.0021,0.0066,0.0096
1048.41,0.883082,0.0021,0.0065,0.0096
1049.61,0.880091,0.0021,0.0065,0.0096
1050.82,0.880115,0.0022,0.0065,0.0096
1052.02,0.874497,0.0022,0.0065,0.0096
1053.23,0.866893,0.0022,0.0065,0.0096
1054.43,0.863836,0.0023,0.0065,0.0097
1055.64,0.859893,0.0023,0.0065,0.0097
1056.84,0.855098,0.0024,0.0065,0.0097
1058.05,0.855372,0.0024,0.0065,0.0097
1059.26,0.852468,0.0025,0.0066,0.0097
1060.46,0.844272,0.0025,0.0066,0.0098
1061.67,0.838229,0.0026,0.0067,0.0098
1062.87,0.835088,0.0026,0.0068,0.0098
1064.08,0.831955,0.0027,0.0069,0.0099
1065.28,0.828455,0.0027,0.007,0.0099
1066.49,0.825959,0.0028,0.0071,0.01
1067.69,0.823822,0.0029,0.0072,0.01
1068.9,0.81777,0.0029,0.0074,0.0101
1070.1,0.814691,0.003,0.0075,0.0102
1071.31,0.813062,0.0031,0.0077,0.0103
1072.51,0.816133,0.0032,0.0079,0.0104
1073.72,0.817578,0.0033,0.0081,0.0106
1074.92,0.815146,0.0034,0.0083,0.0108
1076.13,0.811611,0.0035,0.0085,0.0111
1077.34,0.807711,0.0036,0.0087,0.0114
1078.54,0.803297,0.0037,0.009,0.0117
1079.75,0.804401,0.0039,0.0092,0.0122
1080.95,0.805775,0.0041,0.0096,0.0127
1082.16,0.803687,0.0043,0.0099,0.0134
1083.36,0.803268,0.0045,0.0104,0.0141
1084.57,0.802288,0.0048,0.0109,0.0149
1085.77,0.800805,0.0051,0.0114,0.0158
1086.98,0.803407,0.0054,0.012,0.0171
1088.18,0.803311,0.0057,0.0126,0.0183
1089.39,0.801624,0.006,0.0132,0.0187
1090.59,0.798473,0.0063,0.0138,0.0187
1091.8,0.797864,0.0065,0.0143,0.0189
1093.01,0.79658,0.0068,0.0147,0.0191
1094.21,0.794719,0.0069,0.015,0.0193
1095.41,0.793968,0.007,0.0151,0.0194
1096.62,0.794486,0.0071,0.0152,0.0195
